% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 16.40    0.000240         240         1           execve
 12.92    0.000189           6        31        17 openat
 11.07    0.000162           8        20           mmap
  7.31    0.000107           4        22           write
  7.04    0.000103           4        21        21 lgetxattr
  6.70    0.000098           4        21           statx
  6.22    0.000091           4        20           close
  5.95    0.000087           4        21           listxattr
  4.65    0.000068           5        13           read
  4.17    0.000061           3        17           fstat
  3.28    0.000048          12         4         4 connect
  2.60    0.000038           9         4           socket
  2.32    0.000034          17         2           getdents64
  2.26    0.000033           6         5           mprotect
  1.16    0.000017           5         3           newfstatat
  0.89    0.000013          13         1           munmap
  0.89    0.000013           6         2         2 statfs
  0.82    0.000012           4         3           lseek
  0.62    0.000009           3         3           brk
  0.55    0.000008           4         2         2 access
  0.34    0.000005           5         1           ioctl
  0.34    0.000005           2         2           pread64
  0.27    0.000004           4         1           futex
  0.21    0.000003           3         1           arch_prctl
  0.21    0.000003           3         1           set_tid_address
  0.21    0.000003           3         1           set_robust_list
  0.21    0.000003           3         1           prlimit64
  0.21    0.000003           3         1           getrandom
  0.21    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.001463           6       226        46 total
